fdat,Ychng,Yfit1,Yfit3,Yfit4
1981-10-01,0.0,0.0,0.0,0.0
1982-01-01,0.0,0.0,0.0,0.0
1982-04-01,0.0,0.0,0.0,0.0
1982-07-01,0.0,0.0,0.0,0.0
1982-10-01,0.0,0.0,0.0,0.0
1983-01-01,0.0,0.0,0.0,0.0
1983-04-01,0.0,0.0,0.0,0.0
1983-07-01,0.0,0.0,0.0,0.0
1983-10-01,0.0,0.0,0.0,0.0
1984-01-01,0.0,0.0,0.0,0.0
1984-04-01,0.0,0.0,0.0,0.0
1984-07-01,0.0,0.0,0.0,0.0
1984-10-01,0.0,0.0,0.0,0.0
1985-01-01,0.0,0.0,0.0,0.0
1985-04-01,0.0,0.0,0.0,0.0
1985-07-01,0.0,0.0,0.0,0.0
1985-10-01,0.0,0.0,0.0,0.0
1986-01-01,0.0,0.0,0.0,0.0
1986-04-01,0.0,0.0,0.0,0.0
1986-07-01,0.0,0.0,0.0,0.0
1986-10-01,0.0,0.0,0.0,0.0
1987-01-01,0.0,0.0,0.0,0.0
1987-04-01,0.0,0.0,0.0,0.0
1987-07-01,0.0,0.0,0.0,0.0
1987-10-01,0.0,0.0,0.0,0.0
1988-01-01,0.0,0.0,0.0,0.0
1988-04-01,0.0,0.0,0.0,0.0
1988-07-01,0.0,0.0,0.0,0.0
1988-10-01,0.0,0.0,0.0,0.0
1989-01-01,0.0,0.0,0.0,0.0
1989-04-01,0.0,0.0,0.0,0.0
1989-07-01,0.0,0.0,0.0,0.0
1989-10-01,0.0,0.0,0.0,0.0
1990-01-01,0.0,0.0,0.0,0.0
1990-04-01,0.0,0.0,0.0,0.0
1990-07-01,0.0,0.0,0.0,0.0
1990-10-01,0.0,0.0,0.0,0.0
1991-01-01,0.0,0.0,0.0,0.0
1991-04-01,0.0,0.0,0.0,0.0
1991-07-01,0.0,0.0,0.0,0.0
1991-10-01,0.0,0.0,0.0,0.0
1992-01-01,-0.11430555555555566,-0.01938331589679267,-0.02018677979164394,-0.023017038955498302
1992-04-01,0.12180555555555506,-0.025308145218556316,-0.012644781533343752,0.016721758771895898
1992-07-01,-0.13293300653594775,-0.057531423105825354,-0.06089161125149521,-0.07654840542552
1992-10-01,-0.25352124183006497,-0.09067640402155075,-0.10894409273571673,-0.16078401529964104
1993-01-01,-0.34602598566308274,-0.11583894131176223,-0.14013698495803334,-0.20556375155727252
1993-04-01,-0.021881313131313362,-0.09925426909088983,-0.09116402202097124,-0.08797582695839869
1993-07-01,-0.5632271241830065,-0.15584944355899194,-0.18945445753610662,-0.2932404151338713
1993-10-01,-0.34138888888888896,-0.2234223140307025,-0.2936667658271426,-0.46334424408740504
1994-01-01,-0.5591773504273507,-0.24612956813974837,-0.31971091935541446,-0.4963209035852343
1994-04-01,-0.44097222222222276,-0.2940754570534224,-0.38943549787679976,-0.6050464273467281
1994-07-01,-0.49379273504273513,-0.32472910206054795,-0.42977164484707453,-0.6642007728554123
1994-10-01,-0.4091773504273508,-0.32662561257983475,-0.4175505342285765,-0.6244165621842308
1995-01-01,-0.5333531746031746,-0.3810811936360399,-0.5026314777182872,-0.7713005864357539
1995-04-01,-0.5331944444444447,-0.4031499755122325,-0.526787749438212,-0.7986848914068401
1995-07-01,-0.6816814420803787,-0.4233660515420043,-0.5476412782350801,-0.8200706718659048
1995-10-01,-0.872638888888889,-0.4747169487128827,-0.6202880460166244,-0.9268613879599914
1996-01-01,-0.8981652046783624,-0.516088656249617,-0.672562903022255,-0.9924805201166671
1996-04-01,-0.8462875375375374,-0.5201753521830574,-0.6682201737668961,-0.975220767788928
1996-07-01,-0.8638888888888885,-0.5264131398985281,-0.6666649787582056,-0.9611273330062788
1996-10-01,-0.9023263888888886,-0.5587784022195423,-0.7053088525809657,-1.0068832423107785
1997-01-01,-0.9651388888888888,-0.5620317461225605,-0.6997587559723162,-0.9879630666732321
1997-04-01,-1.0115277777777778,-0.6012798409307819,-0.7470806623427911,-1.0432512196333843
1997-07-01,-1.0097601010101012,-0.6716606801507075,-0.83740393560025,-1.154288738249629
1997-10-01,-1.1893055555555558,-0.6955080632469913,-0.862145406657993,-1.177997063628672
1998-01-01,-1.2798969534050175,-0.7268260644964102,-0.8951305749524886,-1.2094136002403744
1998-04-01,-1.4624537037037038,-0.7903917068400024,-0.9645456611317212,-1.2777833632375726
1998-07-01,-1.3076388888888886,-0.7915018365010644,-0.9638593685716016,-1.2747429990464025
1998-10-01,-1.3676388888888886,-0.8187819322778435,-0.9906396237891676,-1.297591748549264
1999-01-01,-1.5186066308243729,-0.8371099120940988,-1.0071218245079687,-1.3097207762369427
1999-04-01,-1.4638153594771244,-0.8701272191061181,-1.037082716006841,-1.3326365917831706
1999-07-01,-1.3933531746031744,-0.8507778881626782,-1.0162054168552366,-1.3119814628065831
1999-10-01,-1.492638888888889,-0.8561859959626581,-1.0189821771081184,-1.3111198422508321
2000-01-01,-1.3917565359477129,-0.8612144716241847,-1.0225341471444325,-1.312135329353419
2000-04-01,-1.2209722222222217,-0.8244834120558465,-0.9806432914210093,-1.2689758567509832
2000-07-01,-1.3669937275985666,-0.8298598838442887,-0.9814910929174617,-1.2638318335029068
2000-10-01,-1.3158207070707069,-0.838051960659593,-0.9869888753408076,-1.2652893725108816
2001-01-01,-1.372638888888889,-0.8716477547397317,-1.0208450344950057,-1.2952817952611437
2001-04-01,-1.2855699233716473,-0.8256084071612401,-0.9679131223788274,-1.2403570555501715
2001-07-01,-1.3209722222222222,-0.8341168440919221,-0.9730977044244784,-1.240706319313862
2001-10-01,-1.3772542735042737,-0.9107596215236369,-1.0554412942722275,-1.3199721242194442
2002-01-01,-1.30824494949495,-0.9997817078179598,-1.1478205092829419,-1.4050385713367974
2002-04-01,-1.3520506535947714,-1.016709120139075,-1.1627876820330918,-1.4156990148565247
2002-07-01,-1.3538888888888887,-1.0190755890642402,-1.1617606884433587,-1.4105754339780905
2002-10-01,-1.5119246031746032,-1.0486706444545248,-1.1906169316558153,-1.4349131602613565
2003-01-01,-1.424109477124183,-1.057292067140699,-1.197776286468377,-1.4391260447068392
2003-04-01,-1.434002525252525,-1.0181293982717503,-1.15510021143052,-1.397112170472916
2003-07-01,-1.43837962962963,-1.0888601178951407,-1.2248229494009768,-1.4572494911964768
2003-10-01,-1.440219534050179,-1.0798680884433347,-1.2135184415716966,-1.444279712133224
2004-01-01,-1.4772685185185188,-1.1391798334673982,-1.271356187852607,-1.4934063067480197
2004-04-01,-1.3912388888888891,-1.087613785288682,-1.2195793144028397,-1.4466707198111994
2004-07-01,-1.384638888888889,-1.0391797022522058,-1.1652550112667326,-1.391706575721201
2004-10-01,-1.397238888888889,-1.1045962621775014,-1.2319361100802626,-1.451684516841639
2005-01-01,-1.4030934343434338,-1.0888724181562908,-1.212479801283145,-1.4299505378971302
2005-04-01,-1.3745277777777778,-1.0991700472950536,-1.2204929414593775,-1.434104962345221
