fdat,dCPI10mn,yfit1,yfit3,yfit4
1981-10-01,,,,
1982-01-01,,,,
1982-04-01,,,,
1982-07-01,,,,
1982-10-01,,,,
1983-01-01,,,,
1983-04-01,,,,
1983-07-01,,,,
1983-10-01,,,,
1984-01-01,,,,
1984-04-01,,,,
1984-07-01,,,,
1984-10-01,,,,
1985-01-01,,,,
1985-04-01,,,,
1985-07-01,,,,
1985-10-01,,,,
1986-01-01,,,,
1986-04-01,,,,
1986-07-01,,,,
1986-10-01,,,,
1987-01-01,,,,
1987-04-01,,,,
1987-07-01,,,,
1987-10-01,,,,
1988-01-01,,,,
1988-04-01,,,,
1988-07-01,,,,
1988-10-01,,,,
1989-01-01,,,,
1989-04-01,,,,
1989-07-01,,,,
1989-10-01,,,,
1990-01-01,,,,
1990-04-01,,,,
1990-07-01,,,,
1990-10-01,,,,
1991-01-01,,,,
1991-04-01,,,,
1991-07-01,,,,
1991-10-01,,,,
1992-01-01,-0.11430555555555566,-0.01938331589679267,-0.02018677979164394,-0.023017038955498302
1992-04-01,0.23611111111111072,-0.005924829321763645,0.007541998258300188,0.0397387977273942
1992-07-01,-0.2547385620915028,-0.03222327788726904,-0.04824682971815146,-0.09327016419741589
1992-10-01,-0.12058823529411722,-0.033144980915725396,-0.04805248148422152,-0.08423560987412106
1993-01-01,-0.09250474383301777,-0.02516253729021147,-0.031192892222316602,-0.0447797362576315
1993-04-01,0.3241446725317694,0.01658467222087239,0.0489729629370621,0.11758792459887384
1993-07-01,-0.5413458110516931,-0.056595174468102125,-0.09829043551513537,-0.2052645881754726
1993-10-01,0.2218382352941175,-0.06757287047171055,-0.10421230829103592,-0.1701038289535338
1994-01-01,-0.21778846153846176,-0.022707254109045866,-0.02604415352827188,-0.032976659497829255
1994-04-01,0.11820512820512796,-0.04794588891367407,-0.06972457852138533,-0.10872552376149376
1994-07-01,-0.052820512820512366,-0.030653645007125523,-0.04033614697027475,-0.05915434550868425
1994-10-01,0.08461538461538431,-0.0018965105192867773,0.012221110618498027,0.039784210671181534
1995-01-01,-0.12417582417582373,-0.05445558105620517,-0.08508094348971072,-0.14688402425152314
1995-04-01,0.0001587301587298029,-0.02206878187619255,-0.024156271719924884,-0.027384304971086182
1995-07-01,-0.14848699763593398,-0.02021607602977183,-0.020853528796868078,-0.02138578045906474
1995-10-01,-0.19095744680851023,-0.05135089717087844,-0.07264676778154422,-0.10679071609408662
1996-01-01,-0.025526315789473397,-0.041371707536734234,-0.05227485700563057,-0.06561913215667567
1996-04-01,0.05187766714082498,-0.004086695933440521,0.004342729255358842,0.017259752327739075
1996-07-01,-0.017601351351351102,-0.006237787715470681,0.001555195008690488,0.014093434782649161
1996-10-01,-0.038437500000000124,-0.03236526232101418,-0.03864387382276002,-0.04575590930449979
1997-01-01,-0.06281250000000016,-0.003253343903018074,0.005550096608649489,0.01892017563754648
1997-04-01,-0.046388888888889035,-0.03924809480822143,-0.04732190637047495,-0.055288152960152305
1997-07-01,0.0017676767676766403,-0.07038083921992558,-0.09032327325745879,-0.11103751861624463
1997-10-01,-0.17954545454545467,-0.023847383096283908,-0.024741471057743,-0.023708325379043174
1998-01-01,-0.09059139784946169,-0.03131800124941881,-0.032985168294495604,-0.031416536611702184
1998-04-01,-0.18255675029868623,-0.06356564234359222,-0.06941508617923262,-0.06836976299719826
1998-07-01,0.15481481481481518,-0.0011101296610620537,0.0006862925601196224,0.0030403641911699794
1998-10-01,-0.06000000000000005,-0.02728009577677899,-0.02678025521756599,-0.022848749502861573
1999-01-01,-0.15096774193548423,-0.018327979816255335,-0.016482200718801188,-0.012129027687678574
1999-04-01,0.05479127134724848,-0.033017307012019374,-0.029960891498872343,-0.022915815546227954
1999-07-01,0.07046218487394995,0.019349330943439894,0.020877299151604415,0.020655128976587542
1999-10-01,-0.09928571428571464,-0.0054081077999799596,-0.0027767602528819425,0.0008616205557510775
2000-01-01,0.1008823529411762,-0.005028475661526645,-0.0035519700363141043,-0.001015487102587028
2000-04-01,0.1707843137254912,0.03673105956833818,0.04189085572342316,0.043159472602435765
2000-07-01,-0.14602150537634495,-0.005376471788442182,-0.0008478014964525184,0.00514402324807634
2000-10-01,0.05117302052785977,-0.008192076815304278,-0.005497782423345825,-0.0014575390079747327
2001-01-01,-0.0568181818181821,-0.033595794080138706,-0.03385615915419814,-0.029992422750262204
2001-04-01,0.08706896551724164,0.0460393475784916,0.05293191211617834,0.054924739710972316
2001-07-01,-0.03540229885057489,-0.008508436930682041,-0.005184582045650999,-0.00034926376369055247
2001-10-01,-0.05628205128205144,-0.07664277743171478,-0.08234358984774907,-0.07926580490558208
2002-01-01,0.06900932400932369,-0.08902208629432293,-0.09237921501071428,-0.08506644711735324
2002-04-01,-0.04380570409982143,-0.0169274123211151,-0.014967172750149927,-0.010660443519727296
2002-07-01,-0.0018382352941173075,-0.0023664689251651997,0.0010269935897330856,0.00512358087843418
2002-10-01,-0.1580357142857145,-0.02959505539028454,-0.028856243212456632,-0.024337726283266067
2003-01-01,0.0878151260504203,-0.008621422686174107,-0.007159354812561594,-0.004212884445482629
2003-04-01,-0.00989304812834213,0.03916266886894864,0.04267607503785688,0.04201387423392324
2003-07-01,-0.004377104377105034,-0.07073071962339039,-0.06972273797045678,-0.06013732072356084
2003-10-01,-0.0018399044205490434,0.00899202945180606,0.011304507829280244,0.012969779063252815
2004-01-01,-0.03704898446833971,-0.05931174502406338,-0.05783774628091025,-0.04912659461479556
2004-04-01,0.08602962962962968,0.05156604817871618,0.051776873449767155,0.046735586936820145
2004-07-01,0.006600000000000161,0.04843408303647633,0.054324303136107116,0.054964144089998467
2004-10-01,-0.012599999999999945,-0.06541655992529571,-0.06668109881353003,-0.05997794112043789
2005-01-01,-0.0058545454545448905,0.015723844021210714,0.019456308797117513,0.021733978944508722
2005-04-01,0.028565656565656017,-0.010297629138762955,-0.008013140176232524,-0.0041544244480906725
2005-07-01,0.1776996996997,0.014656424133017446,0.01903360102095056,0.02211793572683425
2005-10-01,-0.1679075850043592,0.07105020874849505,0.09455162999179625,0.11463217358206927
2006-01-01,-0.02086240947992124,-0.03751711629074797,-0.03732570767364474,-0.03243294336802913
2006-04-01,-0.007453316326530679,-0.013719791916997747,-0.011546419154030327,-0.007398158411138911
2006-07-01,0.1298583333333334,0.04923526613482477,0.05505585736131173,0.05552839058980081
2006-10-01,-0.05553278985507237,-0.03422765010765223,-0.035438124357993595,-0.03270557184046403
2007-01-01,-0.16844565217391327,-0.12010900212517531,-0.13160889383267552,-0.1296957432930739
2007-04-01,0.06136934338952971,0.03744035604756189,0.03746871856636448,0.03390699749796345
2007-07-01,-0.013200371057513927,0.05229772939325549,0.05605758984193662,0.05411900398139268
2007-10-01,0.02819696969696972,-0.03230617344548474,-0.030538174070411594,-0.024647530674858788
2008-01-01,0.035680000000000156,0.037961173150298684,0.04216445617257507,0.042316204254470115
2008-04-01,0.055931111111111154,0.022089206270750297,0.02701187473836277,0.029783328967483445
